;Power_EUR;Gas_EUR;Emissions_EUR;Coal_USD
15-09-16;25,76;14,8;4,14;58,2
14-09-16;25,41;14,52;3,98;57,69
13-09-16;25,56;14,6;4,03;57,28
12-09-16;25,16;14,59;4,03;56,75
09-09-16;25,4;14,6;4,08;56,48
08-09-16;25,35;14,75;4,08;56,61
07-09-16;25,65;14,7;4,01;57,38
06-09-16;25,97;14,91;4,13;59,36
05-09-16;26,02;14,93;3,93;58,99
02-09-16;25,87;14,95;4,08;58,56
01-09-16;25,97;14,93;4,38;57,85
31-08-16;26,1;15,06;4,47;58,05
30-08-16;26,29;15,24;4,55;58,5
29-08-16;26;#N/A;4,7;57,06
26-08-16;26,04;15,38;4,7;57,06
25-08-16;25,91;15,12;4,71;56,58
24-08-16;25,93;15,09;4,61;56,4
23-08-16;25,86;15,33;4,71;57
22-08-16;25,78;15,21;4,9;56,51
19-08-16;26,14;15,47;4,77;56,18
18-08-16;26,55;15,72;4,69;57,51
17-08-16;26,78;15,78;4,49;59,05
16-08-16;26,74;15,63;4,7;58,95
15-08-16;27,09;15,38;4,81;59,39
12-08-16;27,05;15,45;4,9;60,09
11-08-16;26,73;15,5;4,88;58,73
10-08-16;26,8;15,52;4,77;57,4
09-08-16;26,85;15,59;4,88;58,98
08-08-16;26,79;15,54;4,95;58,54
05-08-16;26,22;15,48;4,73;55,36
04-08-16;26,61;15,73;4,7;57,84
03-08-16;26,78;15,75;4,64;60,09
02-08-16;27,25;15,79;4,42;60,65
01-08-16;27,4;15,95;4,38;61,31
29-07-16;27,45;16,29;4,43;61,51
28-07-16;27,77;16,36;4,49;61,3
27-07-16;27,7;16,62;4,54;60,85
26-07-16;27,43;16,65;4,52;59,7
25-07-16;27,17;16,77;4,6;58,93
22-07-16;27,34;16,8;4,57;58,3
21-07-16;27,63;17,1;4,66;58,6
20-07-16;27,29;16,95;4,69;58,75
19-07-16;27,55;16,83;4,67;59,1
18-07-16;27,95;16,88;4,85;59,99
15-07-16;27,43;17,2;4,93;60,46
14-07-16;27,51;16,57;4,78;59,5
13-07-16;27,62;16,47;4,79;59,28
12-07-16;27,24;16,65;4,63;58,81
11-07-16;26,88;16,44;4,43;56,6
08-07-16;27,08;16,45;4,55;57,39
07-07-16;27,62;16,73;4,58;58,51
06-07-16;27,15;16,56;4,59;57,44
05-07-16;27,61;16,59;4,71;57,98
04-07-16;27,75;16,98;4,97;58,4
01-07-16;27,4;16,58;4,62;57,44
30-06-16;26,25;16,31;4,47;55,63
29-06-16;25,96;16,65;4,52;54,25
28-06-16;26,3;#N/A;4,69;53,78
27-06-16;26,16;16,25;4,77;53,38
24-06-16;27;16,76;4,96;54,73
23-06-16;27,81;17,14;5,65;57
22-06-16;27,68;17,68;5,69;58
21-06-16;27,44;16,85;5,56;55,7
20-06-16;28,14;17,21;5,86;58,78
17-06-16;27,4;16,42;5,67;55,5
16-06-16;27;16,17;5,71;53,75
15-06-16;26,76;16,18;5,91;53
14-06-16;26,35;16,15;5,86;52,25
13-06-16;#N/A;15,83;5,86;51,78
10-06-16;26,46;15,94;5,96;51,79
09-06-16;26,7;16,26;6,12;52,6
08-06-16;27,25;16,53;6,11;52,85
07-06-16;27,61;16,57;6,12;53,88
06-06-16;27,68;16,32;6,21;54,63
03-06-16;26,77;15,82;5,95;52,83
02-06-16;26,36;15,85;6,03;51,71
01-06-16;25,98;15,55;5,97;50,14
31-05-16;26,29;15,73;6,1;49,8
30-05-16;25,91;#N/A;6,12;49,08
27-05-16;25,65;15,38;6,04;49,08
26-05-16;25,5;15,18;6,03;48,54
25-05-16;25,2;15,01;5,87;47,85
24-05-16;24,76;14,77;5,8;46,86
23-05-16;24,75;14,75;5,74;46,81
20-05-16;25,06;14,95;5,97;46,83
19-05-16;24,85;14,96;6;46,86
18-05-16;25,2;15,14;6,06;47,33
17-05-16;25,28;15,17;6,05;47,11
16-05-16;25,01;15,17;6,11;47,01
13-05-16;24,33;14,85;5,85;45,85
12-05-16;24,55;14,84;5,81;45,93
11-05-16;24,06;15,03;6,02;45,85
10-05-16;24,15;14,87;5,9;45,29
09-05-16;24,32;14,82;5,7;45,13
06-05-16;24,47;14,82;5,86;46,05
05-05-16;25,05;14,89;6,2;46,44
04-05-16;24,51;14,5;6,13;46,06
03-05-16;24,1;14,26;5,99;46,21
02-05-16;24,05;#N/A;6,11;46,7
29-04-16;24,95;14,7;6,18;46,7
28-04-16;24,9;14,77;6,34;46,34
27-04-16;26,05;15,86;6,84;46,76
26-04-16;25,76;15,68;6,62;46,96
25-04-16;24,89;14,84;5,9;45,88
22-04-16;24,73;15;5,97;46,06
21-04-16;24,02;14,53;5,75;45,79
20-04-16;23,42;13,88;5,55;44,99
19-04-16;23,5;13,58;5,57;45
18-04-16;23,25;13,25;5,47;44,58
15-04-16;23,15;13,23;5,48;43,69
04-04-16;22,4;13,16;5,33;41,35
01-04-16;22,51;13,26;5,18;41,68
31-03-16;22,4;13,41;5,22;42,43
30-03-16;22,21;13,51;4,97;41,96
29-03-16;21,98;13,47;4,79;41,21
28-03-16;21,98;#N/A;#N/A;41,29
25-03-16;21,98;#N/A;#N/A;#N/A
24-03-16;21,94;13,57;4,86;41,29
23-03-16;21,89;13,56;4,81;40,85
22-03-16;22,13;13,58;4,83;41,36
21-03-16;22,21;13,64;4,88;42,36
18-03-16;22,3;13,72;4,95;42,54
17-03-16;21,95;13,66;5,01;41,71
16-03-16;21,91;13,54;4,97;40,35
15-03-16;21,53;13,51;4,87;39,78
14-03-16;21,85;13,63;4,88;40,03
11-03-16;22,25;13,76;5;41,1
10-03-16;22,05;13,7;4,92;40,95
09-03-16;22,38;13,92;5,09;41,21
08-03-16;22,3;13,78;5,03;40,65
07-03-16;22,25;13,73;5,1;41,66
04-03-16;21,63;13,67;4,93;39,98
03-03-16;21,53;13,77;4,9;39,51
02-03-16;21,52;13,88;4,97;38,3
01-03-16;21,5;13,87;5;38,56
29-02-16;21,45;13,84;5,01;38,26
26-02-16;21,66;13,84;5;38,3
25-02-16;21,48;13,51;5,08;38,39
24-02-16;21,32;13,6;4,87;38,58
23-02-16;21,65;13,77;4,91;38,7
22-02-16;21,8;14,08;5,42;39,48
19-02-16;21,3;13,74;5,17;38,65
18-02-16;21,39;13,92;5,26;37,99
17-02-16;20,92;13,79;5,1;37,19
16-02-16;20,85;13,66;4,7;36,55
15-02-16;21,24;13,88;4,81;36,94
12-02-16;21,21;13,95;5,07;37,3
11-02-16;20,9;13,48;4,75;36,74
10-02-16;21,15;13,49;4,89;36,99
09-02-16;21,6;13,68;4,97;36,94
08-02-16;21,94;13,89;5,25;37,91
05-02-16;22,36;14,15;5,57;37,88
04-02-16;22,85;14,29;5,62;38,25
03-02-16;23,02;14,52;5,64;39,11
02-02-16;22,66;14,44;5,84;38,99
01-02-16;22,9;14,81;5,71;38,66
29-01-16;23,59;15,15;6,07;42,76
28-01-16;23,86;15,12;6,09;43,03
27-01-16;23,6;14,63;5,93;43,29
26-01-16;23,17;14,27;6,1;42,55
25-01-16;23,13;13,93;5,91;42,37
22-01-16;23,8;14,4;6,36;43,08
21-01-16;22,75;13,34;6,21;42,43
20-01-16;23,44;13,29;6,36;41,74
19-01-16;23,76;13,67;#N/A;41,83
18-01-16;23,59;13,7;6,76;41,18
15-01-16;23,8;13,72;6,72;40,98
14-01-16;24,26;14,18;7,13;41,7
13-01-16;24,6;14,5;7,29;41,68
12-01-16;24,65;14,47;7,15;42,08
11-01-16;24,92;14,86;7,17;42,91
08-01-16;25,29;15,12;7,46;43,24
07-01-16;25,54;15,65;7,6;44,33
06-01-16;25,8;15,54;7,81;44,21
05-01-16;25,8;15,49;8,06;43,57
04-01-16;26,32;15,5;8,11;43,43
01-01-16;26,32;#N/A;#N/A;#N/A
31-12-15;26,32;15,66;8,29;44,04
30-12-15;26,61;15,82;8,28;44,45
29-12-15;28,32;15,61;8,34;44,48
28-12-15;28,08;#N/A;8,38;44,13
25-12-15;28,08;#N/A;#N/A;#N/A
24-12-15;28,08;14,75;8,26;44,13
23-12-15;27,94;14,88;8,29;44,04
22-12-15;28,14;15,15;8,32;44,02
21-12-15;28,11;15,24;8,26;43,73
18-12-15;28,14;15,5;8,13;43,93
17-12-15;28,28;15,79;8,14;44,23
16-12-15;28,38;15,75;8,2;44,44
15-12-15;28,25;16,13;8,26;44,48
14-12-15;28,07;15,93;8,07;44,29
11-12-15;28,26;16,3;8,07;44,24
10-12-15;28,63;16,58;8,36;45
09-12-15;28,62;16,61;8,4;45,03
08-12-15;28,53;16,74;8,41;45,14
07-12-15;28,76;16,82;8,41;44,83
04-12-15;28,98;17,4;8,52;45,34
03-12-15;29,01;17,33;8,59;45,53
02-12-15;29,19;17,69;8,48;45,35
01-12-15;29,46;18,09;8,56;46,31
30-11-15;29,5;18,05;8,58;46,71
27-11-15;29,38;17,78;8,58;46,7
26-11-15;29,47;17,76;8,58;46,59
25-11-15;29,29;17,77;8,62;46,3
24-11-15;29,31;17,56;8,65;46,29
23-11-15;29;17,39;8,56;45,92
20-11-15;28,99;17,48;8,51;46,48
19-11-15;29,15;17,68;8,63;47,13
18-11-15;28,98;17,51;8,58;46,82
17-11-15;28,9;17,9;8,61;46,7
16-11-15;28,8;17,34;8,53;45,99
13-11-15;28,58;17,02;8,39;45,91
12-11-15;28,6;16,82;8,37;45,72
11-11-15;28,85;16,97;8,44;46,3
10-11-15;29;17,1;8,44;46,67
09-11-15;29,03;17,21;8,32;47,25
06-11-15;29,29;17,68;8,41;47,7
05-11-15;29,3;17,65;8,47;47,85
04-11-15;29,45;17,92;8,4;48,15
03-11-15;29,46;17,81;8,45;48,75
02-11-15;29,4;17,79;8,6;48,25
30-10-15;29,7;17,94;8,64;48
29-10-15;29,64;#N/A;8,68;48,25
28-10-15;29,35;18,1;8,57;47,71
27-10-15;29,23;18,04;8,61;47,75
26-10-15;29,2;18,11;8,66;47,6
23-10-15;28,97;18,25;8,63;47,2
22-10-15;28,72;18,15;8,48;47,09
21-10-15;28,62;18,1;8,45;47,2
20-10-15;28,68;18,18;8,47;47,6
19-10-15;28,92;18,44;8,35;48
16-10-15;28,98;18,32;8,39;48,15
15-10-15;29,03;18,27;8,43;48,32
14-10-15;28,86;18,23;8,44;48,16
13-10-15;28,9;18,35;8,33;48,45
12-10-15;29,14;18,63;8,3;48,88
09-10-15;29,39;18,84;8,35;49,52
08-10-15;29,26;18,91;8,13;48,89
07-10-15;29,52;18,85;8,11;49,27
06-10-15;29,42;18,91;8,22;49,77
05-10-15;29,19;18,44;8,21;49,12
02-10-15;28,8;18,26;8,15;48,19
01-10-15;29,18;18,42;8,17;48,16
30-09-15;29,08;18,65;8,15;48,49
29-09-15;28,98;18,67;7,98;48,9
28-09-15;28,91;18,71;7,92;48,95
25-09-15;29,28;18,95;8;49,65
24-09-15;29,35;18,83;8,01;49,85
23-09-15;29,61;18,99;8,08;50,06
22-09-15;29,47;19,07;8,03;50
21-09-15;29,45;19,08;7,99;50,25
18-09-15;29,58;19,14;8,12;50,48
17-09-15;29,93;19,28;8,24;51
16-09-15;29,83;19,38;8,24;51,06
15-09-15;29,78;19,25;8,18;50,5
21-04-15;32,03;21,87;7,12;56,76
14-09-15;30,17;19,35;8,24;50,9
11-09-15;30,23;19,5;8,27;51,08
10-09-15;30,15;19,62;8,29;51,28
09-09-15;30,27;19,63;8,28;50,95
08-09-15;30,05;19,53;8,25;51,29
07-09-15;29,98;19,5;8,09;50,65
04-09-15;30,3;19,61;8,1;52,06
03-09-15;30,55;19,83;8,18;52,9
02-09-15;30,23;19,64;8,13;52,4
01-09-15;30,18;19,63;8,02;52,7
31-08-15;30,3;#N/A;8,08;#N/A
28-08-15;30,36;19,43;8,12;53,1
27-08-15;30,2;19,26;8,05;53,05
26-08-15;29,93;19,05;8,11;51,93
25-08-15;29,97;19,28;8,26;51,65
24-08-15;29,77;18,97;8,18;51,5
21-08-15;#N/A;19,47;8,21;52,39
20-08-15;30,68;19,6;8,37;52,5
19-08-15;30,86;19,85;8,35;52,75
18-08-15;30,87;20,05;8,28;52,95
17-08-15;31,01;19,94;8,25;53,65
14-08-15;31,13;20,05;8,33;53,85
13-08-15;30,93;19,98;8,2;54,1
12-08-15;30,96;19,9;8,2;54,05
11-08-15;30,97;20,1;8,1;54,4
10-08-15;31,01;20,19;7,93;54,7
07-08-15;31,01;20,19;7,79;54,56
06-08-15;31,33;20,29;7,85;55,61
05-08-15;31,38;20,25;7,84;55,69
04-08-15;31,35;20,19;7,91;56
03-08-15;31,3;20,26;7,96;55,45
31-07-15;31,5;20,5;7,88;55,78
30-07-15;31,85;20,85;7,89;56,55
29-07-15;31,83;20,75;8,07;56,7
28-07-15;31,75;20,71;8,03;56,4
27-07-15;31,98;20,65;8,03;56,65
24-07-15;32,08;#N/A;8,02;56,85
23-07-15;32,08;20,82;8,09;56,75
22-07-15;32,26;20,89;7,97;57,15
21-07-15;32,34;20,93;7,97;57,7
20-07-15;32,29;21,07;7,99;57,51
17-07-15;32,15;21,19;7,75;57,3
16-07-15;32,05;21,25;7,67;57,65
15-07-15;32,05;21,19;7,77;57,7
14-07-15;32,01;21,07;7,74;58,15
13-07-15;32,06;21,2;7,8;58,2
10-07-15;31,87;21,18;7,62;58,53
09-07-15;31,92;21,19;7,49;58,4
08-07-15;31,7;20,89;7,46;58,23
07-07-15;31,79;21,18;7,47;58,04
06-07-15;31,81;21,27;7,39;58,45
03-07-15;31,97;21,52;7,45;58,9
02-07-15;32,13;21,65;7,46;59,45
01-07-15;32,14;21,62;7,5;59,7
30-06-15;32,1;21,54;7,46;60,35
29-06-15;32,08;21,39;7,37;59,75
26-06-15;32,18;21,5;7,55;59,85
25-06-15;32,13;21,49;7,61;60,2
24-06-15;31,82;21,53;7,51;59,7
23-06-15;31,81;21,62;7,52;59,8
22-06-15;31,74;21,66;7,5;59,75
19-06-15;31,57;21,44;7,44;58,7
18-06-15;31,45;21,3;7,48;58,9
17-06-15;31,45;21,29;#N/A;58,41
16-06-15;31,43;21,29;7,45;58,25
15-06-15;31,57;21,25;7,55;58,5
12-06-15;31,58;21,28;7,64;58,4
11-06-15;31,45;21,26;7,54;58,05
10-06-15;31,49;21,5;7,62;57,5
09-06-15;31,41;21,43;7,6;57,4
08-06-15;31,39;21,42;7,48;57,3
05-06-15;31,54;21,28;7,44;57,45
04-06-15;31,5;21,18;7,43;57,55
03-06-15;31,62;21,33;7,52;57,85
02-06-15;31,7;21,34;7,48;58,05
01-06-15;31,5;21,37;7,28;57,4
29-05-15;31,5;21,44;7,36;57,75
28-05-15;31,39;21,49;7,22;57,01
27-05-15;31,3;21,51;7,21;57,25
26-05-15;31,4;21,54;7,26;56,95
25-05-15;31,4;#N/A;7,39;#N/A
22-05-15;31,23;21,57;7,34;57,01
21-05-15;31,25;21,66;7,33;56,88
20-05-15;31,43;21,6;7,38;56,9
19-05-15;31,62;21,49;7,4;57,18
18-05-15;31,64;21,49;7,63;57,7
15-05-15;31,75;21,6;7,62;58
14-05-15;31,68;21,67;7,59;58,15
13-05-15;31,74;21,8;7,68;58
12-05-15;31,61;21,95;7,63;57,8
11-05-15;31,7;21,97;7,66;57,8
08-05-15;31,64;21,49;7,57;57,5
07-05-15;31,6;21,35;7,47;57,79
06-05-15;31,92;21,48;7,57;58,45
05-05-15;32,01;21,53;7,59;58,55
04-05-15;32,01;#N/A;7,62;#N/A
01-05-15;32,01;#N/A;7,52;58,7
30-04-15;32,02;21,43;7,43;58,48
29-04-15;32,05;21,65;7,5;58,33
28-04-15;32,06;21,63;7,39;57,56
27-04-15;32,13;21,63;7,19;57,7
24-04-15;32,13;21,8;7,32;57,39
23-04-15;32,02;21,66;7,29;56,7
22-04-15;31,98;21,81;7,12;56,65
20-04-15;31,96;21,78;7,17;56,95
17-04-15;31,91;21,75;6,88;57,35
16-04-15;32,03;22,01;6,91;57,6
15-04-15;31,91;22,09;6,89;57,18
14-04-15;31,9;21,84;6,84;56,65
13-04-15;31,87;22,05;6,84;56,2
10-04-15;31,89;21,79;6,98;56,24
09-04-15;31,94;21,73;7,05;56,2
08-04-15;31,86;21,65;7,16;55,55
07-04-15;31,83;21,61;7,15;55,75
06-04-15;31,83;#N/A;#N/A;#N/A
03-04-15;31,83;#N/A;#N/A;#N/A
02-04-15;32,07;21,66;7,19;56,45
01-04-15;32,18;21,7;7,19;56,94
31-03-15;32,15;21,67;6,97;57,5
30-03-15;32,32;21,65;6,93;57,8
27-03-15;32,48;21,85;6,81;58,6
26-03-15;32,25;21,9;6,99;58,5
25-03-15;32,05;21,34;7,01;57,8
24-03-15;32,21;21,42;7,08;57,55
23-03-15;32,36;21,33;7,09;57,35
20-03-15;32,2;21,45;7,09;57,2
19-03-15;32,16;21,4;6,72;57,55
18-03-15;32,18;21,5;6,79;58,35
17-03-15;31,95;21,28;6,78;57,75
16-03-15;31,87;21,45;6,54;57,65
13-03-15;32,15;21,8;6,51;58,45
12-03-15;32,15;21,96;6,46;58,65
11-03-15;32,23;22,07;6,81;59,2
10-03-15;32,07;21,89;6,87;59
09-03-15;32,2;21,8;6,73;59,7
06-03-15;32,2;21,63;6,85;59,6
05-03-15;32,45;21,8;6,8;60,9
04-03-15;32,71;22,24;7,08;62,05
03-03-15;32,64;22,16;6,78;62,2
02-03-15;32,9;22,31;7;62,9
27-02-15;33;22,68;7,15;63,5
26-02-15;32,82;22,75;7,12;61,95
25-02-15;32,96;22,61;7,45;61,7
24-02-15;33,06;22,24;7,52;61,25
23-02-15;32,81;21,97;7,76;61
20-02-15;32,76;22,21;7,38;61,5
19-02-15;32,64;22,05;7,41;60,9
18-02-15;33,19;22,69;7,56;61,95
17-02-15;33,31;22,59;7,54;63,15
16-02-15;33,97;22,63;7,72;64,55
13-02-15;33,61;23,01;7,71;63,65
12-02-15;33,08;23,14;7,47;62,8
11-02-15;32,79;22,54;7,31;62,38
10-02-15;32,91;22,39;7,18;62,35
09-02-15;32,58;21,93;6,99;62,24
06-02-15;32,59;21,78;7,02;62,45
05-02-15;32,47;21,71;7,07;62,8
04-02-15;32,11;20,98;7;60,9
03-02-15;32,4;20,7;7,13;62
02-02-15;32,31;20,6;7,2;59,35
30-01-15;32,14;20,32;7,15;58,16
29-01-15;32,25;20,57;7,12;58,33
28-01-15;31,91;20,31;7,02;58,89
27-01-15;31,67;20,21;6,91;57,92
26-01-15;31,55;20,08;6,93;57,05
23-01-15;31,71;19,96;6,88;56,9
22-01-15;31,79;19,89;6,84;57,75
21-01-15;31,95;19,96;7,41;58,53
20-01-15;31,65;19,8;7,25;56,49
19-01-15;31,6;19,8;7,3;56,49
16-01-15;31,55;20,1;7,22;55,96
15-01-15;31,94;20,3;7,21;56,25
14-01-15;32,14;20,28;7,25;57,82
13-01-15;32;20,39;7,38;58,99
12-01-15;31,55;20,19;6,8;57,72
09-01-15;31,85;20,06;6,8;58,94
08-01-15;31,57;20,09;6,9;59,53
07-01-15;31,64;20,04;6,87;59,76
06-01-15;31,38;19,94;6,86;60,98
05-01-15;31,95;20,44;6,99;62,01
02-01-15;32,36;20,75;7,09;64,39
01-01-15;32,36;#N/A;#N/A;#N/A
